"id","street","city","buildingNumber"
"44","ul. Kubik 51346","Kępno","8"
"45","al. Piątkowski 44384","Strzelce Krajeńskie","94"
"46","al. Frąckowiak 736","Gryfino","54"
"47","al. Kalisz 6729","Sanok","35"
"48","ul. Nawrot 11284","Szamocin","46"
"49","al. Sosnowski 683","Janów Lubelski","20"
"50","al. Klimczak 8106","Kleczew","39"
"51","al. Mucha 700","Puck","57"
"52","al. Lisowski 40345","Katowice","22"
"53","ul. Skalski 264","Pszów","52"
"54","ul. Pietras 272","Bydgoszcz","34"
"55","ul. Krzyżanowski 583","Imielin","92"
"56","ul. Pietrzyk 929","Staszów","95"
"57","al. Cholewa 94035","Strzyżów","85"
"58","al. Wasilewski 24234","Sulmierzyce","52"
"59","al. Szostak 56505","Węgrów","54"
"60","ul. Kwiecień 69090","Stawiski","22"
"61","ul. Pakuła 62649","Mosina","29"
"62","al. Białas 1964","Łabiszyn","80"
"63","al. Kaczmarek 317","Kudowa-Zdrój","31"
"64","ul. Skrzypczak 47136","Kamień Pomorski","99"
"65","ul. Stasiak 0509","Cedynia","62"
"66","ul. Stępień 35804","Kłodawa","15"
"67","al. Gadomski 5617","Chojna","27"
"68","ul. Kalinowski 8491","Wieliczka","20"
"69","al. Aleksandrowicz 610","Zgorzelec","13"
"70","al. Misiak 1887","Szydłowiec","0"
"71","al. Domagała 484","Łęczyca","38"
"72","al. Kaleta 202","Nowy Dwór Mazowiecki","64"
"73","al. Czajkowski 96845","Ińsko","14"
"74","ul. Stachura 3582","Mirsk","78"
"75","ul. Żurawski 0908","Mordy","1"
"76","ul. Błaszczak 88651","Nieszawa","61"
"77","ul. Wolski 537","Kłecko","89"
"78","ul. Czaja 1175","Ślesin","42"
"79","ul. Kędziora 72450","Wąchock","2"
"80","al. Kawa 245","Koźmin Wielkopolski","60"
"81","ul. Sochacki 142","Dąbrowa Górnicza","37"
"82","al. Kaszuba 33138","Piława Górna","95"
"83","ul. Wypych 36543","Jedlicze","37"
"84","al. Podgórski 2930","Świętochłowice","41"
"85","al. Lipiński 590","Olesno","71"
"86","al. Kowalik 533","Pińczów","39"
"87","ul. Rudzki 979","Piaski","94"
"88","al. Koper 783","Kisielice","8"
"89","al. Szczepanik 755","Myślibórz","91"
"90","ul. Kołodziejski 7190","Drezdenko","75"
"91","ul. Duszyński 233","Mielec","74"
"92","ul. Milewski 7063","Tuszyn","54"
"93","al. Bielecki 03230","Braniewo","17"
"94","ul. Prus 908","Skawina","25"
"95","ul. Filipowicz 4245","Pyrzyce","94"
"96","ul. Chudzik 552","Halinów","98"
"97","ul. Kalisz 967","Nowy Dwór Mazowiecki","27"
"98","al. Czerniak 0103","Słubice","46"
"99","ul. Gil 52365","Włodawa","86"
"100","al. Nowiński 3416","Brzeziny","50"
"101","ul. Urbański 9572","Zamość","83"
"102","ul. Frąckowiak 1234","Kępno","26"
"103","ul. Bukowski 4013","Grabów nad Prosną","33"
"104","ul. Kosowski 65619","Blachownia","25"
"105","ul. Szczepański 817","Ciechanowiec","42"
"106","ul. Chojnowski 97610","Otmuchów","43"
"107","ul. Łuczak 681","Różan","12"
"108","al. Lesiak 46553","Kielce","0"
"109","ul. Kozieł 89675","Poniatowa","65"
"110","al. Dudzik 989","Radziejów","2"
"111","ul. Wnuk 57842","Ziębice","60"
"112","ul. Sieradzki 7399","Chocianów","28"
"113","al. Grześkowiak 0705","Zakroczym","2"
"114","al. Leszczyński 0368","Turek","38"
"115","al. Chojnacki 39162","Kobylin","31"
"116","ul. Filipek 689","Kobyłka","35"
"117","al. Kos 251","Międzybórz","29"
"118","ul. Kogut 331","Drezdenko","54"
"119","ul. Krukowski 905","Jordanów","75"
"120","al. Łukasiewicz 483","Kołobrzeg","13"
"121","al. Wierzbicki 6843","Krośniewice","16"
"122","ul. Szczęsny 7065","Warszawa","45"
"123","al. Krzemiński 56366","Sośnicowice","78"
"124","al. Adamczyk 666","Działdowo","69"
"125","ul. Musiał 49833","Czarna Białostocka","54"
"126","ul. Sobczyk 2065","Iława","28"
"127","al. Domański 91362","Solec Kujawski","67"
"128","al. Bednarz 87073","Grudziądz","97"
"129","al. Komorowski 640","Wisła","59"
"130","ul. Rybarczyk 2995","Lewin Brzeski","62"
"131","al. Jezierski 9464","Koprzywnica","11"
"132","al. Czapla 46653","Pakość","11"
"133","al. Bieńkowski 97506","Kraków","41"
"134","ul. Kowalewski 93866","Ełk","42"
"135","al. Łukasik 213","Polanica-Zdrój","62"
"136","al. Przybysz 56962","Warszawa","36"
"137","al. Mielczarek 64643","Radków","27"
"138","al. Skrzypek 64364","Ropczyce","49"
"139","al. Iwański 0044","Kolonowskie","60"
"140","ul. Witek 4599","Ciechanowiec","25"
"141","al. Lewandowski 406","Radomyśl Wielki","21"
"142","ul. Marek 91594","Pogorzela","75"
"143","ul. Gruszka 20724","Działoszyce","54"
"144","ul. Stec 754","Oborniki Śląskie","96"
"145","al. Kozak 5918","Czaplinek","22"
"146","ul. Juszczak 392","Koluszki","36"
"147","al. Miller 61462","Golczewo","55"
"148","al. Jabłoński 5346","Opoczno","47"
"149","ul. Młynarczyk 1802","Sosnowiec","33"
"150","al. Szatkowski 4407","Skierniewice","92"
"151","al. Wroński 793","Zabrze","81"
"152","al. Borek 48768","Dzierżoniów","27"
"153","al. Czapla 486","Warta","83"
"154","al. Sowa 111","Wieleń","81"
"155","ul. Mrozek 66081","Siedlce","67"
"156","ul. Wójcicki 1004","Opoczno","29"
"157","al. Stasiak 43269","Wąchock","94"
"158","ul. Dobosz 49128","Przasnysz","77"
"159","ul. Węgrzyn 951","Osieczna","26"
"160","ul. Domański 9435","Mrągowo","52"
"161","ul. Wróblewski 50635","Uniejów","28"
"162","al. Kwaśniewski 2518","Suwałki","43"
"163","ul. Ziętek 8325","Zielonka","23"
"164","ul. Kot 579","Tłuszcz","74"
"165","ul. Banaś 673","Sosnowiec","12"
"166","al. Kita 77956","Konin","23"
"167","al. Stefaniak 702","Zdzieszowice","71"
"168","al. Zaręba 39603","Ścinawa","59"
"169","al. Prus 9136","Suraż","98"
"170","ul. Filipowicz 81370","Szydłowiec","42"
"171","ul. Słowik 834","Rybnik","66"
"172","al. Kwiecień 70579","Krosno Odrzańskie","19"
"173","al. Pilarski 149","Zabrze","82"
"174","al. Michalski 614","Głogów","80"
"175","al. Słowik 948","Gościno","50"
"176","ul. Banaś 3099","Kuźnia Raciborska","36"
"177","al. Wysocki 46834","Drawsko Pomorskie","93"
"178","al. Trzciński 400","Zielonka","35"
"179","ul. Przybysz 549","Miejska Górka","0"
"180","ul. Wieczorek 8483","Frampol","97"
"181","ul. Nowicki 78851","Augustów","22"
"182","ul. Brzozowski 55107","Więcbork","93"
"183","al. Piórkowski 51218","Gdańsk","52"
"184","ul. Gałka 43097","Świerzawa","73"
"185","ul. Modzelewski 0334","Busko-Zdrój","87"
"186","ul. Grochowski 98457","Piechowice","67"
"187","ul. Pałka 22240","Złocieniec","8"
"188","ul. Strzelczyk 832","Piotrków Kujawski","84"
"189","al. Majewski 83160","Błażowa","85"
"190","ul. Jankowiak 63808","Mrągowo","95"
"191","ul. Bąkowski 90787","Nowy Staw","68"
"192","ul. Kaczmarek 3518","Łobez","96"
"193","ul. Olejnik 96115","Piwniczna-Zdrój","6"
"194","ul. Dobrowolski 72950","Prószków","27"
"195","al. Wolak 0331","Kamień Krajeński","8"
"196","ul. Banaś 72566","Śrem","75"
"197","ul. Mika 5876","Pilawa","27"
"198","al. Stankiewicz 83144","Wodzisław Śląski","76"
"199","ul. Rudziński 90080","Chojnów","7"
"200","al. Baranowski 07262","Szczecin","78"
"201","al. Gołębiowski 3038","Blachownia","55"
"202","al. Jackowski 4565","Borek Wielkopolski","2"
"203","al. Filipowicz 46720","Jastarnia","23"
"204","al. Mika 871","Miechów","66"
"205","al. Stępień 86522","Ostrów Lubelski","19"
"206","al. Wojtas 7612","Stary Sącz","35"
"207","al. Leśniak 52170","Bukowno","26"
"208","ul. Witczak 544","Barlinek","66"
"209","ul. Rogowski 37187","Głogów Małopolski","55"
"210","al. Robak 779","Józefów (powiat otwocki)","6"
"211","ul. Kurowski 70414","Raszków","77"
"212","ul. Skrzypek 1328","Mogielnica","6"
"213","ul. Wiśniewski 991","Lipsko","71"
"214","al. Stelmach 06337","Iłża","54"
"215","al. Gawron 17505","Wschowa","37"
"216","ul. Wolski 36427","Koprzywnica","5"
"217","ul. Szymczak 52075","Ćmielów","30"
"218","ul. Leśniak 53683","Opatów","60"
"219","ul. Białkowski 8385","Kłodzko","95"
"220","al. Czechowski 6048","Czerwionka-Leszczyny","87"
"221","al. Marzec 486","Nowa Sarzyna","59"
"222","al. Urbanek 8918","Poddębice","89"
"223","ul. Lewandowski 9352","Milanówek","27"
"224","ul. Frątczak 513","Chełm","71"
"225","al. Piotrowski 4653","Jabłonowo Pomorskie","83"
"226","al. Rudziński 053","Resko","39"
"227","ul. Adamek 48770","Kock","92"
"228","ul. Zych 635","Skwierzyna","64"
"229","ul. Stefański 2671","Kamienna Góra","61"
"230","ul. Żak 64156","Białobrzegi","82"
"231","ul. Nowicki 9737","Ruciane-Nida","2"
"232","ul. Drabik 312","Sulejówek","58"
"233","ul. Stępniak 88526","Wschowa","88"
"234","ul. Urbanowicz 303","Chojnów","99"
"235","al. Sokołowski 830","Poddębice","32"
"236","ul. Kruszewski 86760","Dąbrowa Białostocka","29"
"237","al. Bednarski 8812","Radomsko","64"
"238","al. Dąbkowski 4918","Ulanów","9"
"239","ul. Piątek 662","Puck","81"
"240","ul. Pilarski 44951","Trzemeszno","21"
"241","al. Rybak 543","Myszków","41"
"242","ul. Wójtowicz 9136","Lubań","31"
"243","al. Zdunek 943","Sławków","50"
"244","al. Madej 2913","Strzelin","59"
"245","al. Dudek 6882","Kępno","73"
"246","al. Szczęsny 054","Przedbórz","90"
"247","ul. Szymczak 5469","Kłodzko","7"
"248","al. Kałuża 05831","Wodzisław Śląski","20"
"249","al. Jankowiak 2326","Książ Wielkopolski","56"
"250","ul. Sołtysiak 62905","Mrągowo","89"
"251","ul. Kozłowski 51436","Osiek","20"
"252","al. Ziółkowski 33615","Chojnice","18"
"253","ul. Pluta 1388","Byczyna","64"
"254","al. Szczepaniak 26492","Łańcut","80"
"255","al. Pluta 49987","Wieluń","28"
"256","ul. Urbańczyk 565","Pobiedziska","44"
"257","ul. Jackowski 03587","Lubomierz","0"
"258","ul. Głogowski 8528","Wisła","28"
"259","ul. Sawicki 196","Kańczuga","97"
"260","ul. Gałązka 27840","Radlin","56"
"261","al. Białek 090","Solec Kujawski","78"
"262","ul. Frączek 1062","Lębork","85"
"263","al. Sadowski 0002","Augustów","79"
"264","al. Bogucki 974","Biała","9"
"265","al. Gil 5518","Ustrzyki Dolne","53"
"266","ul. Pilarski 37654","Janów Lubelski","88"
"267","al. Jakubowski 35427","Lwówek Śląski","47"
"268","ul. Łukaszewski 690","Tolkmicko","55"
"269","al. Lesiak 3415","Świdwin","35"
"270","ul. Stanisławski 447","Tyszowce","23"
"271","al. Marek 0745","Łabiszyn","77"
"272","al. Domagała 783","Nowe Warpno","97"
"273","ul. Niemczyk 094","Miechów","73"
"274","al. Adamiec 390","Nidzica","37"
"275","ul. Czekaj 629","Ostrów Wielkopolski","1"
"276","ul. Malinowski 79239","Chełmża","24"
"277","ul. Flak 0410","Zawidów","89"
"278","ul. Pietras 74482","Środa Śląska","60"
"279","al. Karczewski 8401","Pruchnik","56"
"280","ul. Łapiński 4640","Krosno","20"
"281","al. Szczęsna 75386","Wolin","63"
"282","al. Młynarczyk 6020","Radzymin","12"
"283","al. Karpiński 401","Góra Kalwaria","95"
"284","ul. Gałka 907","Police","1"
"285","al. Laskowski 0137","Sokółka","61"
"286","al. Knapik 49045","Drzewica","6"
"287","al. Konieczna 37312","Ozorków","44"
"288","ul. Kmiecik 83269","Czechowice-Dziedzice","37"
"289","al. Zagórski 5738","Łabiszyn","97"
"290","ul. Grzywacz 5743","Świebodzin","83"
"291","al. Furman 26520","Sułkowice","86"
"292","al. Mikulski 5094","Ziębice","80"
"293","al. Stawicki 83382","Czechowice-Dziedzice","29"
"294","al. Tomczyk 133","Wałcz","53"
"295","ul. Grzelak 798","Barcin","56"
"296","al. Grzyb 0119","Gdańsk","88"
"297","ul. Radomski 71487","Przysucha","45"
"298","al. Lipiński 0364","Nowy Tomyśl","59"
"299","al. Nowakowski 98363","Mszczonów","99"
"300","al. Turek 1199","Zdzieszowice","56"
"301","ul. Maciąg 44069","Wolbrom","20"
"302","ul. Zawadzki 9182","Skoczów","68"
"303","ul. Szewczyk 649","Mirosławiec","71"
"304","al. Graczyk 92601","Bielsk Podlaski","78"
"305","al. Drabik 69334","Nowe Miasto Lubawskie","77"
"306","ul. Polak 3480","Marki","11"
"307","al. Krawczyk 627","Kobylin","9"
"308","al. Baranowski 21730","Żuromin","81"
"309","al. Owczarek 73598","Włocławek","1"
"310","al. Masłowski 092","Solec Kujawski","51"
"311","al. Maj 174","Skórcz","47"
"312","ul. Gruszczyński 44250","Kazimierz Dolny","65"
"313","al. Bielak 11646","Bystrzyca Kłodzka","69"
"314","al. Jakubowski 68480","Siedlce","3"
"315","al. Skowroński 70560","Ostróda","37"
"316","ul. Szymczak 73019","Sopot","40"
"317","al. Szczęsna 3229","Karlino","5"
"318","al. Sikora 240","Janów Lubelski","97"
"319","ul. Żuk 456","Łosice","16"
"320","ul. Bartnik 45712","Gniewkowo","9"
"321","ul. Malicki 37598","Chorzele","15"
"322","al. Jarosz 12168","Grajewo","72"
"323","al. Skóra 970","Kisielice","24"
"324","al. Drzewiecki 7847","Pisz","86"
"325","al. Frankowski 331","Góra","42"
"326","ul. Górski 6206","Skępe","85"
"327","al. Woliński 224","Proszowice","93"
"328","al. Szczepański 24711","Radków","87"
"329","al. Gawlik 7499","Stąporków","55"
"330","al. Kwiatkowski 7056","Tarczyn","93"
"331","ul. Dudek 69817","Słupca","46"
"332","al. Łuczak 11643","Rzepin","64"
"333","al. Świderski 3579","Działdowo","57"
"334","ul. Michałowski 5780","Górzno","2"
"335","ul. Karaś 340","Gniezno","85"
"336","al. Grzesik 70804","Drobin","43"
"337","ul. Sochacki 10241","Jordanów","20"
"338","ul. Łuczak 925","Puck","39"
"339","al. Raczyński 1883","Wyszków","62"
"340","al. Dębowski 40129","Trzemeszno","0"
"341","ul. Kapusta 861","Daleszyce","91"
"342","al. Jóźwik 8360","Sieniawa","29"
"343","ul. Siedlecki 18312","Skierniewice","63"
"344","al. Długosz 953","Elbląg","12"
"345","ul. Mackiewicz 57122","Sępopol","58"
"346","al. Skalski 986","Gdańsk","69"
"347","al. Skibiński 9409","Obrzycko","42"
"348","al. Bagiński 4598","Nowy Tomyśl","51"
"349","al. Juszczak 745","Polanów","5"
"350","ul. Majchrzak 931","Krzyż Wielkopolski","33"
"351","ul. Kot 94208","Cedynia","13"
"352","al. Kaźmierczak 455","Grodzisk Mazowiecki","72"
"353","ul. Robak 428","Bogatynia","58"
"354","ul. Słowiński 1135","Nisko","69"
"355","ul. Zaborowski 5245","Jedlicze","25"
"356","al. Skoczylas 01102","Orneta","41"
"357","ul. Bednarczyk 3744","Świdnik","65"
"358","al. Napierała 943","Kościan","37"
"359","al. Bednarski 0625","Lębork","50"
"360","ul. Gutowski 0927","Reda","1"
"361","al. Wojtczak 4636","Szamotuły","11"
"362","ul. Krajewski 224","Kleszczele","52"
"363","al. Partyka 0732","Końskie","48"
"364","ul. Komorowski 44186","Puszczykowo","52"
"365","ul. Koper 186","Wodzisław Śląski","59"
"366","al. Matuszak 2488","Blachownia","11"
"367","ul. Kalisz 948","Czarnków","59"
"368","al. Kędziora 55091","Tuchów","21"
"369","ul. Cichy 67201","Nowe Miasto Lubawskie","73"
"370","al. Stachura 9928","Słubice","13"
"371","al. Domański 806","Olsztyn","46"
"372","al. Skrzypek 3640","Żelechów","55"
"373","al. Przybył 2072","Namysłów","3"
"374","al. Strzelecki 1440","Dzierżoniów","47"
"375","al. Grzywacz 087","Baranów Sandomierski","91"
"376","ul. Brzeziński 9184","Ulanów","84"
"377","ul. Sobolewski 56621","Nakło nad Notecią","59"
"378","al. Smoliński 63507","Legnica","24"
"379","ul. Szwarc 780","Ożarów","96"
"380","ul. Zwoliński 825","Myślenice","88"
"381","al. Dudziak 036","Orzysz","61"
"382","ul. Rzepka 2720","Namysłów","41"
"383","al. Wysocki 641","Niepołomice","83"
"384","al. Orłowski 1941","Olesno","45"
"385","ul. Adamus 1970","Dębica","11"
"386","ul. Nowakowski 801","Goniądz","41"
"387","ul. Jastrzębski 484","Libiąż","86"
"388","al. Skoczylas 11052","Brzeziny","10"
"389","al. Janicki 9084","Ożarów","79"
"390","ul. Robak 501","Sokołów Podlaski","78"
"391","ul. Wawrzyniak 61161","Świecie","14"
"392","al. Koper 02355","Nisko","53"
"393","al. Flak 4066","Pyrzyce","95"
"394","ul. Marzec 46935","Grabów nad Prosną","14"
"395","ul. Mazurek 0953","Nowe Miasto nad Pilicą","92"
"396","al. Buczkowski 637","Wojnicz","74"
"397","al. Majewski 6800","Milicz","32"
"398","al. Krzyżanowski 27432","Zabrze","51"
"399","ul. Żak 0334","Grajewo","32"
"400","al. Łapiński 396","Nowa Dęba","33"
"401","al. Krupiński 5803","Sokołów Podlaski","79"
"402","ul. Majchrzak 0397","Radków","68"
"403","ul. Kruk 47329","Mordy","32"
"404","al. Florek 5087","Wieliczka","17"
"405","al. Markowski 063","Koluszki","31"
"406","ul. Konopka 778","Września","89"
"407","al. Karpiński 35935","Nowogród","92"
"408","al. Jankowiak 446","Świeradów-Zdrój","47"
"409","al. Sroka 14392","Bolków","13"
"410","al. Kula 087","Wyszków","83"
"411","ul. Czapla 604","Kowalewo Pomorskie","14"
"412","ul. Malinowski 64470","Przasnysz","35"
"413","al. Sobczak 47378","Stęszew","49"
"414","al. Janas 49925","Stryków","69"
"415","ul. Balcerzak 27341","Osieczna","57"
"416","al. Orzechowski 79944","Szczuczyn","73"
"417","al. Szatkowski 88093","Bukowno","31"
"418","ul. Grzyb 8730","Siedlce","78"
"419","ul. Kurowski 81342","Sulęcin","1"
"420","ul. Kołodziejski 254","Lewin Brzeski","38"
"421","al. Cichocki 2838","Łazy","23"
"422","al. Grzybowski 4465","Niemodlin","79"
"423","al. Sadowski 72773","Ząbkowice Śląskie","47"
"424","ul. Pietrzyk 03826","Wasilków","37"
"425","ul. Kucharski 88954","Drzewica","1"
"426","ul. Kruszewski 87667","Kargowa","78"
"427","ul. Żyła 5660","Białystok","29"
"428","ul. Paszkowski 44479","Szczecinek","90"
"429","ul. Rogalski 938","Sulmierzyce","46"
"430","ul. Majcher 8010","Miechów","37"
"431","ul. Sokołowski 5719","Drohiczyn","97"
"432","ul. Kmiecik 032","Działoszyce","1"
"433","ul. Jankowski 4595","Świecie","4"
"434","ul. Białek 1603","Głuszyca","73"
"435","ul. Jóźwiak 085","Żyrardów","85"
"436","al. Bieniek 126","Bierutów","88"
"437","ul. Grabowski 9439","Ujście","11"
"438","al. Piechota 4641","Szydłowiec","10"
"439","ul. Krzyżanowski 0598","Duszniki-Zdrój","92"
"440","ul. Kurowski 28844","Pleszew","33"
"441","ul. Bąk 31706","Puck","67"
"442","ul. Górniak 320","Pilzno","73"
"443","al. Leszczyński 02333","Żerków","31"
"444","al. Niedziela 32652","Ośno Lubuskie","71"
"445","ul. Przybylski 0674","Głubczyce","68"
"446","al. Szczęsny 8854","Dębica","25"
"447","ul. Jackowski 929","Człopa","68"
"448","ul. Urbaniak 632","Lędziny","50"
"449","al. Skiba 284","Czeladź","52"
"450","ul. Wilk 268","Świebodzice","29"
"451","al. Nowakowski 15194","Krynki","3"
"452","al. Podgórski 8085","Końskie","10"
"453","ul. Trzeciak 39535","Lębork","99"
"454","ul. Mackiewicz 594","Dobra (powiat łobeski)","98"
"455","ul. Witkowski 632","Wąchock","87"
"456","al. Majewski 680","Wysoka","52"
"457","ul. Olczak 7891","Mszczonów","70"
"458","al. Maciąg 277","Międzyrzec Podlaski","55"
"459","ul. Kawecki 258","Ryglice","92"
"460","al. Cieślik 9907","Sandomierz","99"
"461","al. Niewiadomski 3220","Żary","9"
"462","al. Olczak 8477","Sokołów Małopolski","28"
"463","ul. Ziółkowski 702","Koluszki","28"
"464","ul. Dudziak 9686","Świerzawa","89"
"465","ul. Jabłoński 0698","Torzym","71"
"466","ul. Kasperek 971","Radlin","25"
"467","al. Stolarczyk 2863","Krotoszyn","17"
"468","al. Sobolewski 6435","Gozdnica","54"
"469","al. Szczepaniak 4296","Lędziny","49"
"470","ul. Paczkowski 203","Dąbrowa Tarnowska","42"
"471","al. Adamczak 6791","Ciężkowice","80"
"472","al. Siedlecki 698","Kargowa","47"
"473","al. Kwaśniewski 38009","Brzostek","96"
"474","al. Żurek 5992","Szczucin","49"
"475","al. Wojtkowiak 60512","Grodków","14"
"476","ul. Kuś 0217","Imielin","97"
"477","ul. Dziedzic 84664","Sokołów Podlaski","47"
"478","al. Cieślik 91537","Górowo Iławeckie","75"
"479","al. Matuszewski 4188","Krasnobród","26"
"480","al. Szeląg 2042","Kostrzyn nad Odrą","31"
"481","al. Olejnik 43192","Łuków","64"
"482","ul. Janiszewski 36765","Chojna","86"
"483","al. Bujak 0706","Reszel","27"
"484","ul. Panek 5070","Tychy","60"
"485","ul. Ziółkowski 0065","Wadowice","60"
"486","ul. Kozak 060","Olesno","62"
"487","al. Rogalski 91151","Sompolno","98"
"488","al. Kostrzewa 966","Proszowice","93"
"489","ul. Korzeniowski 585","Działdowo","86"
"490","ul. Kosowski 87841","Kłobuck","89"
"491","al. Rusin 68980","Kamienna Góra","10"
"492","ul. Szymkowiak 6741","Czarnków","13"
"493","ul. Stachowiak 72698","Siedlce","66"
"494","al. Cieślak 03125","Torzym","62"
"495","al. Stelmach 210","Czerwieńsk","8"
"496","ul. Górecki 48548","Serock","28"
"497","ul. Koza 5984","Wielichowo","38"
"498","ul. Jurek 9116","Żary","60"
"499","ul. Cichocki 9553","Sopot","20"
"500","al. Strzelecki 83942","Gliwice","66"
"501","ul. Rosiak 9537","Żychlin","14"
"502","ul. Małek 669","Łaziska Górne","42"
"503","ul. Ślusarczyk 282","Braniewo","85"
"504","al. Wiącek 555","Łeba","50"
"505","ul. Kuciński 26957","Zduny","86"
"506","ul. Gawroński 189","Radzyń Podlaski","24"
"507","ul. Marzec 052","Ciężkowice","34"
"508","ul. Zielonka 60619","Szamocin","40"
"509","al. Zagórski 5734","Świebodzice","70"
"510","ul. Czyż 208","Niemodlin","13"
"511","ul. Rogala 6956","Głubczyce","26"
"512","ul. Niedzielski 24910","Błażowa","65"
"513","ul. Misztal 7349","Żyrardów","75"
"514","al. Buczek 2739","Łosice","58"
"515","ul. Karaś 653","Lubsko","63"
"516","al. Niemiec 7114","Kożuchów","17"
"517","ul. Juszczak 232","Tychy","91"
"518","al. Lasota 983","Radziejów","79"
"519","ul. Mrozek 56836","Końskie","91"
"520","al. Kolasa 8338","Wołów","45"
"521","al. Krajewski 80119","Leśna","6"
"522","al. Żebrowski 844","Brzeszcze","59"
"523","al. Mazurek 03309","Polkowice","13"
"524","ul. Grzesiak 29024","Głogów Małopolski","2"
"525","al. Stachurski 057","Kartuzy","48"
"526","ul. Kasperek 385","Tuchów","47"
"527","al. Niedźwiecki 90091","Mogilno","12"
"528","al. Knapik 692","Aleksandrów Kujawski","74"
"529","ul. Grochowski 556","Łosice","60"
"530","al. Zabłocki 549","Stargard Szczeciński","44"
"531","ul. Domański 04201","Poddębice","31"
"532","al. Paczkowski 703","Miasteczko Śląskie","23"
"533","ul. Witek 90997","Osieczna","44"
"534","ul. Szczęsna 8364","Łańcut","62"
"535","al. Ziętek 381","Ząbki","75"
"536","ul. Wasiak 287","Jaworzno","47"
"537","ul. Duda 17718","Janikowo","34"
"538","al. Kot 2637","Szubin","47"
"539","ul. Ptak 7443","Czarna Białostocka","98"
"540","al. Kita 8334","Kożuchów","70"
"541","ul. Puchalski 82256","Ustka","3"
"542","al. Kubiak 797","Radzyń Podlaski","57"
"543","ul. Kozak 03555","Szczucin","32"
"544","ul. Muszyński 58573","Śmigiel","3"
"545","al. Porębski 879","Ostrów Mazowiecka","12"
"546","ul. Krysiak 191","Pieńsk","28"
"547","al. Szeląg 23432","Rawa Mazowiecka","65"
"548","ul. Puchalski 648","Wieluń","5"
"549","al. Krysiak 7887","Żnin","2"
"550","ul. Piłat 8817","Leśna","5"
"551","ul. Szczerba 37631","Pilzno","40"
"552","ul. Janiak 982","Mrocza","77"
"553","al. Piotrowski 666","Wałbrzych","3"
"554","ul. Strzelecki 759","Nowe","73"
"555","al. Kuc 3799","Międzyzdroje","50"
"556","ul. Masłowski 411","Pyzdry","48"
"557","al. Mrozek 8792","Złotoryja","2"
"558","al. Jasiński 10713","Międzylesie","21"
"559","al. Banaś 590","Toszek","92"
"560","ul. Wieczorek 2997","Ryglice","51"
"561","ul. Lisiecki 654","Chełmża","33"
"562","ul. Gajda 18237","Ciechocinek","87"
"563","ul. Kaczmarski 959","Gorzów Śląski","71"
"564","al. Góral 055","Nieszawa","93"
"565","ul. Niemczyk 7656","Wyrzysk","42"
"566","ul. Milewski 9094","Góra Kalwaria","34"
"567","al. Adamiec 02961","Narol","45"
"568","ul. Brzeziński 497","Syców","22"
"569","ul. Raczyński 54973","Głogów","75"
"570","al. Bartczak 5760","Parczew","14"
"571","al. Jagiełło 12849","Katowice","78"
"572","al. Piątkowski 457","Mszana Dolna","57"
"573","al. Sieradzki 5749","Zator","74"
"574","ul. Siedlecki 82306","Suraż","51"
"575","al. Sosnowski 8792","Halinów","67"
"576","al. Kos 85938","Niemcza","24"
